employee_id,name,company,ticker,department,level,performance_score,total_compensation_usd,tenure_years
NVDA-0001,Daniel Murphy,NVIDIA,NVDA,Legal & Policy,Principal,84.3,192700,3.0
NVDA-0002,Zoe Khan,NVIDIA,NVDA,Engineering,Senior,81.4,293300,13.8
NVDA-0003,Mary Ali,NVIDIA,NVDA,Operations,Senior Director,63.3,1551800,10.8
NVDA-0004,Yuki Tanaka,NVIDIA,NVDA,Engineering,Principal,88.9,1620500,5.5
NVDA-0005,Olivia Anderson,NVIDIA,NVDA,Engineering,Senior,82.9,131200,3.6
NVDA-0006,Mary Petrov,NVIDIA,NVDA,Sales & GTM,Director,80.9,374000,18.4
NVDA-0007,Aisha Schmidt,NVIDIA,NVDA,Engineering,Staff,77.6,672300,2.6
NVDA-0008,Arjun Petrov,NVIDIA,NVDA,Engineering,Senior Director,77.4,1338200,5.7
NVDA-0009,Aisha Anderson,NVIDIA,NVDA,Legal & Policy,Senior,63.6,232900,3.8
NVDA-0010,Hannah Hassan,NVIDIA,NVDA,Engineering,Staff,88.1,355900,5.1
NVDA-0011,Elena Anderson,NVIDIA,NVDA,Design,Senior,79.1,361800,6.6
NVDA-0012,Maria Smith,NVIDIA,NVDA,Product,Senior,87.1,209400,2.9
NVDA-0013,Michael Rossi,NVIDIA,NVDA,People/HR,Staff,86.4,602500,3.2
NVDA-0014,Fatima Chen,NVIDIA,NVDA,Research & AI,Senior,82.5,300200,9.4
NVDA-0015,Zoe Khan,NVIDIA,NVDA,Marketing,Senior,84.1,488500,11.4
NVDA-0016,Daniel Park,NVIDIA,NVDA,Marketing,Staff,74.6,906300,10.9
NVDA-0017,Grace Martinez,NVIDIA,NVDA,Engineering,VP,83.9,1037100,10.2
NVDA-0018,Raj Patel,NVIDIA,NVDA,Research & AI,Director,100.0,1994200,5.7
NVDA-0019,James Petrov,NVIDIA,NVDA,Research & AI,Staff,100.0,449500,3.4
NVDA-0020,Emily Hassan,NVIDIA,NVDA,Research & AI,Principal,84.7,512600,7.0
NVDA-0021,Maria Park,NVIDIA,NVDA,Product,Director,91.9,971900,8.7
NVDA-0022,Hannah Johnson,NVIDIA,NVDA,Operations,Director,72.3,320200,16.1
NVDA-0023,John Murphy,NVIDIA,NVDA,Product,Senior Director,82.7,969800,15.7
NVDA-0024,Mary Wang,NVIDIA,NVDA,Engineering,Principal,91.5,259000,7.1
NVDA-0025,Thomas Rossi,NVIDIA,NVDA,Finance,VP,91.2,2089600,19.5
NVDA-0026,Kevin Hassan,NVIDIA,NVDA,Legal & Policy,Senior,91.1,290400,8.8
NVDA-0027,Chen Martinez,NVIDIA,NVDA,Research & AI,Senior,91.2,331400,5.7
NVDA-0028,Linda Hassan,NVIDIA,NVDA,Engineering,Senior,77.8,576100,4.3
NVDA-0029,Aisha Murphy,NVIDIA,NVDA,Product,Senior,95.9,293200,2.5
NVDA-0030,Fatima Park,NVIDIA,NVDA,Product,Principal,93.2,482300,7.2
NVDA-0031,Mary Rossi,NVIDIA,NVDA,Operations,Senior Director,82.5,1325000,6.3
NVDA-0032,Thomas Kim,NVIDIA,NVDA,Engineering,Staff,90.2,624500,5.2
NVDA-0033,Linda Anderson,NVIDIA,NVDA,Sales & GTM,Director,86.7,1556900,4.6
NVDA-0034,Priya Cohen,NVIDIA,NVDA,Operations,Principal,71.5,544600,7.1
NVDA-0035,Hannah Park,NVIDIA,NVDA,Sales & GTM,Principal,82.1,732500,3.9
NVDA-0036,Carlos Murphy,NVIDIA,NVDA,Finance,Senior,86.4,1068400,3.6
NVDA-0037,Fatima Chen,NVIDIA,NVDA,Engineering,Staff,63.2,365500,12.4
NVDA-0038,James Brown,NVIDIA,NVDA,Sales & GTM,Staff,61.9,295400,6.2
NVDA-0039,Chen Silva,NVIDIA,NVDA,Engineering,Director,67.5,410600,8.4
NVDA-0040,Thomas Schmidt,NVIDIA,NVDA,Research & AI,Staff,58.3,307500,1.9
NVDA-0041,Hiroshi Petrov,NVIDIA,NVDA,Operations,VP,91.7,3775900,10.0
NVDA-0042,Ahmed Okafor,NVIDIA,NVDA,Engineering,Principal,89.6,550500,5.6
NVDA-0043,Thomas Okafor,NVIDIA,NVDA,Design,VP,83.7,685100,9.2
NVDA-0044,Yuki Murphy,NVIDIA,NVDA,Research & AI,Senior,81.4,268600,3.9
NVDA-0045,James Lopez,NVIDIA,NVDA,Product,Principal,79.7,540400,10.0
NVDA-0046,Priya Garcia,NVIDIA,NVDA,Design,Senior,77.8,121000,5.1
NVDA-0047,Hannah Schmidt,NVIDIA,NVDA,Finance,Director,79.6,1072200,10.2
NVDA-0048,Maria Brown,NVIDIA,NVDA,Engineering,Staff,72.9,475600,8.3
NVDA-0049,Arjun Nguyen,NVIDIA,NVDA,Research & AI,Senior,87.0,593000,0.7
NVDA-0050,Ahmed Tanaka,NVIDIA,NVDA,Engineering,Staff,53.6,362400,1.1
NVDA-0051,Arjun Ali,NVIDIA,NVDA,Product,Director,81.8,343600,10.5
NVDA-0052,Zoe Reyes,NVIDIA,NVDA,Research & AI,Staff,79.1,322400,5.5
NVDA-0053,Mary Park,NVIDIA,NVDA,Legal & Policy,Staff,77.7,381800,4.8
NVDA-0054,Grace Singh,NVIDIA,NVDA,Sales & GTM,Senior Director,80.9,275100,7.2
NVDA-0055,James Silva,NVIDIA,NVDA,People/HR,Staff,85.3,474100,9.9
NVDA-0056,Grace Chen,NVIDIA,NVDA,Engineering,Principal,70.6,294600,4.2
NVDA-0057,Daniel Tanaka,NVIDIA,NVDA,Operations,Director,65.9,449800,8.5
NVDA-0058,Elena Silva,NVIDIA,NVDA,Product,Senior,88.6,417400,9.3
NVDA-0059,Hiroshi Lopez,NVIDIA,NVDA,Engineering,Principal,84.1,1134000,13.6
NVDA-0060,Aisha Hassan,NVIDIA,NVDA,Product,Senior,80.8,315600,1.9
NVDA-0061,Linda Patel,NVIDIA,NVDA,Operations,Senior,72.3,149500,10.1
NVDA-0062,Yuki Garcia,NVIDIA,NVDA,Operations,VP,91.8,1631000,7.3
NVDA-0063,Daniel Patel,NVIDIA,NVDA,Marketing,Staff,68.0,178600,8.9
NVDA-0064,Zoe Chen,NVIDIA,NVDA,Product,Principal,75.5,367100,8.9
NVDA-0065,Zoe Rossi,NVIDIA,NVDA,Finance,Principal,92.8,842200,5.9
NVDA-0066,Linda Petrov,NVIDIA,NVDA,Engineering,Senior,64.3,194800,3.7
NVDA-0067,Hannah Chen,NVIDIA,NVDA,Finance,SVP,82.9,3043900,20.5
NVDA-0068,Priya Anderson,NVIDIA,NVDA,Engineering,Senior Director,83.5,1528400,8.4
NVDA-0069,David Lee,NVIDIA,NVDA,Engineering,Principal,81.4,272600,14.5
NVDA-0070,Grace Murphy,NVIDIA,NVDA,Finance,Senior,87.6,189300,9.0
NVDA-0071,Aisha Wilson,NVIDIA,NVDA,Engineering,Senior,74.3,321700,9.9
NVDA-0072,Daniel Patel,NVIDIA,NVDA,People/HR,Principal,82.6,398600,8.0
NVDA-0073,Ahmed Petrov,NVIDIA,NVDA,Engineering,Senior,100.0,205000,0.9
NVDA-0074,Maria Khan,NVIDIA,NVDA,Product,Staff,81.2,253200,5.2
NVDA-0075,Wei Reyes,NVIDIA,NVDA,Engineering,Senior,84.1,198200,5.2
NVDA-0076,John Cohen,NVIDIA,NVDA,People/HR,Principal,91.6,235200,2.8
