employee_id,name,company,ticker,department,level,performance_score,total_compensation_usd,tenure_years,potential_index,origin_region,socioeconomic_origin,first_generation_professional,adversity_origin_score,mental_strength
AMZN-0001,Linda Khan,Amazon,AMZN,Operations,Director,95.6,445500,5.1,91.4,North America,Lower-middle,Yes,70.1,84.3
AMZN-0002,Thomas Patel,Amazon,AMZN,Finance,Principal,60.6,407300,9.4,61.8,North America,Affluent,No,29.6,69.3
AMZN-0003,Samuel Brown,Amazon,AMZN,Engineering,Principal,78.7,508600,4.7,77.8,East Asia,Lower-middle,No,70.7,62.1
AMZN-0004,Chen Patel,Amazon,AMZN,Engineering,Principal,79.0,328000,8.1,72.4,North America,Upper-middle,Yes,45.8,56.7
AMZN-0005,Hannah Davis,Amazon,AMZN,Engineering,Principal,82.6,531800,5.1,71.4,East Asia,Affluent,No,28.7,77.6
AMZN-0006,Maria Lopez,Amazon,AMZN,Finance,Staff,68.4,638600,3.8,70.8,South Asia,Upper-middle,No,38.7,68.5
AMZN-0007,Kevin Petrov,Amazon,AMZN,Engineering,Director,88.3,536000,8.2,74.8,North America,Affluent,No,28.7,67.4
AMZN-0008,Daniel Patel,Amazon,AMZN,Marketing,Senior,94.7,534000,6.1,70.8,North America,Middle,No,50.7,61.0
AMZN-0009,Chen Johnson,Amazon,AMZN,Research & AI,SVP,89.5,723300,12.8,67.0,North America,Middle,No,52.9,91.4
AMZN-0010,Daniel Smith,Amazon,AMZN,Engineering,Director,64.5,368700,4.0,59.5,South Asia,Upper-middle,Yes,52.1,76.9
AMZN-0011,Emily Patel,Amazon,AMZN,Research & AI,Staff,79.5,103600,4.7,65.2,South Asia,Lower-middle,No,58.7,62.4
AMZN-0012,Sofia Wang,Amazon,AMZN,Marketing,Senior,79.8,1283300,11.6,61.4,Middle East,Upper-middle,No,38.2,70.6
AMZN-0013,Maria Ali,Amazon,AMZN,Engineering,Senior Director,76.0,858800,8.3,68.6,North America,Middle,No,41.5,83.6
AMZN-0014,Fatima Patel,Amazon,AMZN,Sales & GTM,Principal,74.6,257000,3.7,64.2,East Asia,Affluent,No,24.4,57.6
AMZN-0015,Nina Ali,Amazon,AMZN,Engineering,Director,68.2,615400,6.9,71.6,North America,Lower-middle,No,61.3,72.7
AMZN-0016,Raj Petrov,Amazon,AMZN,Engineering,Senior,86.2,441300,1.2,59.6,South Asia,Middle,No,52.2,72.2
AMZN-0017,Nina Brown,Amazon,AMZN,Engineering,Senior,69.2,186200,3.8,57.5,South Asia,Working class,Yes,80.6,75.8
AMZN-0018,Hiroshi Lee,Amazon,AMZN,Marketing,Senior,59.7,174200,3.8,48.2,East Asia,Middle,No,36.7,63.8
AMZN-0019,Mary Cohen,Amazon,AMZN,Sales & GTM,Senior Director,81.0,366500,7.0,87.5,South Asia,Middle,Yes,59.2,75.4
AMZN-0020,Samuel Garcia,Amazon,AMZN,Research & AI,Staff,67.0,179200,6.3,54.6,North America,Affluent,No,33.8,70.1
AMZN-0021,Samuel Chen,Amazon,AMZN,People/HR,Senior,70.8,239400,2.7,67.3,South Asia,Affluent,No,29.2,55.3
AMZN-0022,Carlos Davis,Amazon,AMZN,Engineering,VP,83.7,1277700,9.6,75.1,North America,Affluent,No,22.8,72.0
AMZN-0023,Hannah Nguyen,Amazon,AMZN,Operations,Director,85.5,343500,10.1,54.8,Europe,Working class,No,99.6,75.0
AMZN-0024,Priya Garcia,Amazon,AMZN,Legal & Policy,Senior Director,72.5,340300,6.8,76.3,North America,Lower-middle,No,69.5,67.6
AMZN-0025,Raj Petrov,Amazon,AMZN,Product,Senior,86.8,208100,3.3,75.0,Middle East,Working class,Yes,91.5,77.7
AMZN-0026,Hiroshi Schmidt,Amazon,AMZN,Engineering,Staff,78.2,189800,5.7,67.1,Oceania,Middle,Yes,52.6,74.8
AMZN-0027,Daniel Singh,Amazon,AMZN,Engineering,Principal,95.3,281800,3.9,81.8,Middle East,Upper-middle,No,32.6,89.0
AMZN-0028,Priya Martinez,Amazon,AMZN,Engineering,Senior,81.9,401200,1.6,71.4,North America,Middle,No,62.4,68.3
AMZN-0029,Samuel Okafor,Amazon,AMZN,Operations,Staff,89.2,148900,3.1,53.6,East Asia,Affluent,No,11.8,71.7
