employee_id,name,company,ticker,department,level,performance_score,total_compensation_usd,tenure_years,potential_index,origin_region,socioeconomic_origin,first_generation_professional,adversity_origin_score,mental_strength
TSM-0001,Li Hung,TSMC,TSM,Operations,VP,73.2,366400,13.1,68.7,Southeast Asia,Upper-middle,No,42.1,61.6
TSM-0002,Han Tseng,TSMC,TSM,Operations,SVP,93.9,555100,12.9,74.4,East Asia,Middle,No,68.4,88.7
TSM-0003,Yi Chiang,TSMC,TSM,People/HR,Staff,65.9,192700,10.7,65.0,East Asia,Lower-middle,No,55.4,66.5
TSM-0004,Hao Su,TSMC,TSM,Fab/Manufacturing,Principal,86.3,159500,6.5,79.1,East Asia,Affluent,Yes,39.9,76.5
TSM-0005,Wei Lu,TSMC,TSM,Fab/Manufacturing,Staff,73.6,199700,6.8,51.5,East Asia,Middle,No,53.9,60.5
TSM-0006,Jun Lin,TSMC,TSM,Fab/Manufacturing,Principal,82.1,101600,16.3,69.1,East Asia,Middle,Yes,59.9,86.8
TSM-0007,Hao Tseng,TSMC,TSM,Engineering,Staff,81.9,230200,8.4,66.3,East Asia,Middle,Yes,61.1,65.3
TSM-0008,Hui Fang,TSMC,TSM,Research & AI,SVP,70.7,1252700,17.5,73.9,East Asia,Middle,No,44.5,79.9
TSM-0009,Xin Lin,TSMC,TSM,Quality,Principal,67.4,136600,11.1,71.6,East Asia,Middle,No,50.2,62.1
TSM-0010,Li Hsieh,TSMC,TSM,Fab/Manufacturing,Principal,86.6,137400,9.5,62.5,East Asia,Lower-middle,No,64.5,82.1
TSM-0011,Hao Chen,TSMC,TSM,Quality,Senior,76.2,78300,9.1,58.6,East Asia,Middle,No,54.9,77.1
TSM-0012,Kai Su,TSMC,TSM,Fab/Manufacturing,Staff,83.6,306500,11.6,62.6,East Asia,Lower-middle,Yes,76.4,81.5
TSM-0013,Ling Chen,TSMC,TSM,Legal & Policy,Staff,85.4,178200,5.4,66.0,East Asia,Upper-middle,No,42.7,67.3
TSM-0014,Po Lin,TSMC,TSM,Engineering,Director,85.3,160600,6.5,83.9,East Asia,Working class,Yes,100.0,86.8
TSM-0015,Kai Chang,TSMC,TSM,Engineering,Senior Director,89.8,410300,6.6,66.8,East Asia,Working class,No,85.2,75.6
TSM-0016,Shu Lin,TSMC,TSM,Finance,VP,96.4,467800,30.4,75.3,East Asia,Lower-middle,Yes,63.6,82.7
TSM-0017,Xin Lu,TSMC,TSM,Fab/Manufacturing,Senior,73.6,73000,7.8,70.6,East Asia,Middle,No,51.1,75.4
TSM-0018,Ting Lee,TSMC,TSM,Engineering,Director,86.4,190800,6.4,70.1,East Asia,Middle,Yes,50.8,69.6
TSM-0019,Jian Yeh,TSMC,TSM,Quality,Director,86.6,257900,9.6,68.4,Southeast Asia,Working class,Yes,93.7,87.4
TSM-0020,Jun Lee,TSMC,TSM,Engineering,Senior,76.0,131200,8.5,67.3,East Asia,Middle,Yes,58.3,72.5
TSM-0021,Kai Tseng,TSMC,TSM,Operations,Senior,89.1,95200,14.0,65.1,East Asia,Middle,No,55.1,80.4
TSM-0022,Wei Wu,TSMC,TSM,Engineering,Senior,95.7,112200,11.6,65.3,East Asia,Lower-middle,No,71.9,84.5
TSM-0023,Jia Tsai,TSMC,TSM,Fab/Manufacturing,Senior,79.4,103100,11.1,60.7,East Asia,Working class,Yes,95.0,88.1
TSM-0024,Shu Kuo,TSMC,TSM,Engineering,Senior,80.8,168600,15.4,63.2,East Asia,Working class,Yes,97.8,88.6
TSM-0025,Po Liao,TSMC,TSM,Engineering,Staff,85.2,103600,17.4,68.7,East Asia,Working class,Yes,79.2,78.2
TSM-0026,Shu Wu,TSMC,TSM,Operations,Principal,89.9,141200,9.1,67.2,East Asia,Affluent,No,21.6,76.3
TSM-0027,Li Liao,TSMC,TSM,Quality,Senior,70.8,50100,7.6,58.6,East Asia,Middle,No,43.2,56.4
TSM-0028,Wei Tsai,TSMC,TSM,Supply Chain,Principal,74.6,515400,11.3,73.5,East Asia,Lower-middle,Yes,74.7,89.1
TSM-0029,Qing Cheng,TSMC,TSM,Engineering,Senior,77.2,95100,10.7,63.8,East Asia,Middle,No,51.2,73.6
TSM-0030,Ling Lee,TSMC,TSM,Fab/Manufacturing,Staff,94.6,127400,4.3,59.1,East Asia,Working class,Yes,94.9,84.8
TSM-0031,Hao Lin,TSMC,TSM,Fab/Manufacturing,Senior,83.9,120500,9.3,56.2,East Asia,Lower-middle,No,62.2,70.9
TSM-0032,Cheng Hung,TSMC,TSM,Fab/Manufacturing,Staff,77.4,103800,8.7,66.0,East Asia,Upper-middle,No,27.4,76.7
TSM-0033,Wen Yeh,TSMC,TSM,Fab/Manufacturing,Senior,79.4,125900,11.5,55.3,East Asia,Working class,Yes,88.8,81.4
TSM-0034,Bo Chiang,TSMC,TSM,Operations,Senior,82.8,208000,15.8,70.3,East Asia,Upper-middle,No,57.8,72.8
TSM-0035,Li Fang,TSMC,TSM,Operations,Principal,86.1,276400,14.4,55.5,East Asia,Lower-middle,Yes,59.1,64.0
TSM-0036,Ling Lu,TSMC,TSM,Fab/Manufacturing,Senior,84.0,99700,10.0,79.0,East Asia,Lower-middle,Yes,73.2,83.6
TSM-0037,Han Wu,TSMC,TSM,Sales & GTM,Principal,79.9,577900,18.9,64.2,East Asia,Middle,Yes,63.9,68.0
TSM-0038,Ming Hung,TSMC,TSM,Engineering,Senior Director,84.7,496100,16.2,57.5,East Asia,Lower-middle,Yes,69.7,87.5
TSM-0039,Wen Lin,TSMC,TSM,Engineering,Senior,78.5,216000,9.3,62.7,East Asia,Middle,Yes,59.4,67.5
TSM-0040,Cheng Su,TSMC,TSM,Sales & GTM,Staff,83.6,98800,8.1,60.0,East Asia,Lower-middle,No,59.7,75.6
TSM-0041,Jian Wu,TSMC,TSM,Finance,Senior,86.5,75900,16.5,61.5,East Asia,Upper-middle,No,33.6,76.5
TSM-0042,Wei Yeh,TSMC,TSM,Engineering,Principal,76.7,146500,8.4,73.5,South Asia,Middle,No,55.6,85.2
