employee_id,name,company,ticker,department,level,performance_score,total_compensation_usd,tenure_years,potential_index,origin_region,socioeconomic_origin,first_generation_professional,adversity_origin_score,mental_strength
AVGO-0001,Fatima Yamamoto,Broadcom,AVGO,Sales & GTM,Staff,76.5,254900,8.1,63.9,North America,Working class,No,82.4,67.0
AVGO-0002,Linda Wang,Broadcom,AVGO,Research & AI,Principal,94.8,930400,4.3,68.9,South Asia,Lower-middle,No,60.4,66.2
AVGO-0003,Maria Wang,Broadcom,AVGO,Engineering,Senior,64.9,208300,6.4,64.3,Africa,Middle,No,65.4,71.3
AVGO-0004,Arjun Lee,Broadcom,AVGO,Engineering,Staff,81.2,585800,2.7,67.9,Middle East,Working class,No,80.5,69.0
AVGO-0005,Priya Smith,Broadcom,AVGO,Research & AI,Principal,78.3,270700,6.3,68.1,East Asia,Lower-middle,No,66.3,81.9
AVGO-0006,Hannah Tanaka,Broadcom,AVGO,Research & AI,Staff,74.0,531700,10.8,63.7,East Asia,Working class,No,75.1,73.1
AVGO-0007,Olivia Petrov,Broadcom,AVGO,Operations,Senior,88.1,706100,1.8,63.0,North America,Working class,Yes,98.3,76.0
AVGO-0008,Linda Martinez,Broadcom,AVGO,Finance,Principal,75.2,444400,4.7,69.8,East Asia,Working class,Yes,86.1,75.5
AVGO-0009,Nina Reyes,Broadcom,AVGO,Fab/Manufacturing,SVP,74.7,1476900,8.1,76.4,South Asia,Lower-middle,No,62.4,67.7
AVGO-0010,Raj Silva,Broadcom,AVGO,Fab/Manufacturing,Principal,80.4,311700,8.0,62.0,East Asia,Upper-middle,No,30.2,69.4
AVGO-0011,John Wilson,Broadcom,AVGO,Engineering,Senior,64.1,613200,5.1,68.9,East Asia,Working class,Yes,84.6,76.5
AVGO-0012,John Silva,Broadcom,AVGO,Operations,Principal,74.7,406500,6.2,49.1,North America,Upper-middle,No,31.7,60.5
AVGO-0013,Michael Cohen,Broadcom,AVGO,Operations,Staff,82.7,181000,7.9,61.2,North America,Lower-middle,No,61.4,91.1
AVGO-0014,Aisha Okafor,Broadcom,AVGO,Fab/Manufacturing,Senior,77.4,254100,5.7,75.5,North America,Middle,No,66.7,79.5
AVGO-0015,Mary Park,Broadcom,AVGO,Research & AI,Senior Director,72.5,601400,23.4,70.2,North America,Middle,No,46.8,65.2
AVGO-0016,Hiroshi Reyes,Broadcom,AVGO,Fab/Manufacturing,Principal,75.9,569400,7.8,62.3,Europe,Middle,Yes,65.2,80.2
AVGO-0017,Olivia Kim,Broadcom,AVGO,Operations,Staff,79.9,182900,4.5,81.3,North America,Working class,Yes,94.1,57.4
AVGO-0018,Fatima Tanaka,Broadcom,AVGO,Engineering,Principal,61.5,148000,4.9,63.4,North America,Working class,Yes,96.3,74.1
AVGO-0019,Elena Silva,Broadcom,AVGO,Operations,Senior,91.5,210300,14.3,63.8,North America,Middle,No,50.2,77.9
AVGO-0020,Yuki Hassan,Broadcom,AVGO,Engineering,Staff,90.3,619200,3.5,72.4,North America,Working class,Yes,84.7,67.3
AVGO-0021,Yuki Ali,Broadcom,AVGO,Fab/Manufacturing,Senior,75.5,302700,5.2,63.4,South Asia,Middle,No,55.1,84.6
AVGO-0022,Wei Patel,Broadcom,AVGO,Fab/Manufacturing,Senior Director,91.1,478400,5.9,75.8,East Asia,Lower-middle,Yes,69.3,64.2
AVGO-0023,Daniel Rossi,Broadcom,AVGO,Engineering,Principal,83.8,267100,7.5,53.4,Latin America,Upper-middle,No,29.6,73.7
AVGO-0024,Samuel Reyes,Broadcom,AVGO,Engineering,Senior,78.8,116700,9.0,59.1,North America,Middle,No,48.4,77.0
AVGO-0025,Grace Ali,Broadcom,AVGO,Engineering,Staff,53.2,198700,11.1,70.0,North America,Upper-middle,No,48.7,61.7
AVGO-0026,Linda Hassan,Broadcom,AVGO,Finance,Director,80.4,773800,10.0,69.0,South Asia,Working class,No,89.4,84.1
AVGO-0027,Aisha Johnson,Broadcom,AVGO,Research & AI,Senior,88.4,366800,4.2,60.5,North America,Middle,Yes,54.5,74.3
AVGO-0028,Elena Park,Broadcom,AVGO,Research & AI,Senior,91.7,338300,1.1,66.1,North America,Upper-middle,No,36.6,70.7
AVGO-0029,Maria Park,Broadcom,AVGO,Sales & GTM,Senior,75.0,205000,6.8,67.4,East Asia,Middle,No,49.0,84.3
AVGO-0030,Wei Khan,Broadcom,AVGO,Fab/Manufacturing,Staff,62.4,280000,8.8,55.4,North America,Middle,No,56.9,78.9
AVGO-0031,Sofia Lee,Broadcom,AVGO,Research & AI,Staff,74.2,482300,3.5,68.9,Latin America,Working class,Yes,86.9,74.4
AVGO-0032,Nina Park,Broadcom,AVGO,Fab/Manufacturing,Staff,59.3,187000,9.8,70.4,Southeast Asia,Lower-middle,No,73.1,72.2
AVGO-0033,Maria Garcia,Broadcom,AVGO,Sales & GTM,Senior,80.8,301200,1.6,65.5,North America,Upper-middle,No,50.4,69.7
AVGO-0034,Mary Brown,Broadcom,AVGO,Quality,Senior,83.6,243900,5.6,74.0,North America,Lower-middle,No,75.7,84.2
AVGO-0035,Nina Singh,Broadcom,AVGO,Quality,Senior,96.2,155500,12.5,74.3,North America,Affluent,No,19.0,73.9
AVGO-0036,David Nguyen,Broadcom,AVGO,Research & AI,Principal,73.5,589800,6.9,62.2,North America,Working class,Yes,88.9,61.0
AVGO-0037,Thomas Tanaka,Broadcom,AVGO,Fab/Manufacturing,Principal,79.5,552500,7.3,79.0,South Asia,Upper-middle,No,49.7,67.1
AVGO-0038,Chen Reyes,Broadcom,AVGO,Engineering,Senior,86.1,635100,3.7,66.0,North America,Affluent,No,24.1,74.6
AVGO-0039,Kevin Davis,Broadcom,AVGO,Sales & GTM,Senior,75.7,623100,5.7,69.5,North America,Working class,Yes,97.0,83.3
AVGO-0040,Sofia Kim,Broadcom,AVGO,Engineering,Senior Director,86.8,597400,11.2,63.1,North America,Working class,Yes,74.0,82.1
AVGO-0041,Hiroshi Khan,Broadcom,AVGO,Engineering,Staff,66.4,122800,9.2,62.9,Latin America,Upper-middle,No,31.8,79.4
AVGO-0042,Michael Reyes,Broadcom,AVGO,Engineering,Principal,61.5,520100,14.6,61.6,Europe,Working class,No,85.2,82.0
AVGO-0043,Sofia Patel,Broadcom,AVGO,Finance,Principal,94.5,804300,14.1,62.8,Oceania,Lower-middle,Yes,82.6,76.3
AVGO-0044,Carlos Wilson,Broadcom,AVGO,Engineering,Senior,79.6,265600,5.0,72.4,South Asia,Working class,Yes,87.3,83.3
AVGO-0045,Michael Lopez,Broadcom,AVGO,Engineering,Staff,75.2,355700,3.4,74.7,Southeast Asia,Middle,No,46.5,76.3
AVGO-0046,Arjun Hassan,Broadcom,AVGO,Engineering,Principal,80.7,1143600,10.9,86.9,North America,Lower-middle,Yes,81.7,87.0
AVGO-0047,Samuel Murphy,Broadcom,AVGO,Research & AI,Staff,85.8,133400,4.9,69.8,North America,Middle,No,47.0,72.5
AVGO-0048,Grace Wang,Broadcom,AVGO,Sales & GTM,Senior,60.4,228100,1.5,70.0,South Asia,Upper-middle,Yes,57.4,89.6
AVGO-0049,Arjun Anderson,Broadcom,AVGO,Finance,C-Suite,100.0,2294800,12.3,73.6,Southeast Asia,Working class,Yes,94.9,65.8
AVGO-0050,Emily Lopez,Broadcom,AVGO,Sales & GTM,Staff,75.5,425700,9.0,62.6,Europe,Upper-middle,Yes,46.2,71.1
AVGO-0051,Kevin Smith,Broadcom,AVGO,Sales & GTM,Senior,79.2,167700,8.3,52.6,North America,Affluent,No,27.7,67.5
AVGO-0052,Grace Patel,Broadcom,AVGO,Operations,Staff,84.5,345700,7.2,70.0,South Asia,Upper-middle,No,40.7,73.6
AVGO-0053,Hannah Schmidt,Broadcom,AVGO,Fab/Manufacturing,VP,74.1,789900,11.6,66.1,South Asia,Working class,No,85.6,62.2
AVGO-0054,Sofia Hassan,Broadcom,AVGO,Engineering,Senior Director,72.5,1274900,8.1,62.5,North America,Working class,No,86.2,72.0
AVGO-0055,Fatima Chen,Broadcom,AVGO,Fab/Manufacturing,Principal,73.1,486100,12.6,56.5,North America,Lower-middle,Yes,76.9,49.8
AVGO-0056,Yuki Rossi,Broadcom,AVGO,Fab/Manufacturing,Principal,57.9,239100,11.3,76.4,Africa,Working class,Yes,95.7,67.8
AVGO-0057,Maria Singh,Broadcom,AVGO,Fab/Manufacturing,Staff,75.6,347400,13.6,66.1,South Asia,Middle,Yes,61.8,77.9
AVGO-0058,David Park,Broadcom,AVGO,Quality,Senior,81.2,212900,7.6,63.0,South Asia,Middle,No,62.6,79.2
