employee_id,name,company,ticker,department,level,performance_score,total_compensation_usd,tenure_years,potential_index,origin_region,socioeconomic_origin,first_generation_professional,adversity_origin_score,mental_strength
2222-0001,Nasser Al-Nasser,Saudi Aramco,2222.SR,Upstream/Engineering,Director,82.7,371600,12.2,60.0,Africa,Lower-middle,Yes,81.1,57.8
2222-0002,Layla Al-Harbi,Saudi Aramco,2222.SR,Operations,VP,67.1,250500,9.4,75.9,Southeast Asia,Middle,No,49.4,67.6
2222-0003,Maryam Al-Rashid,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,75.0,177700,8.0,66.3,Middle East,Working class,Yes,91.9,79.2
2222-0004,Amal Al-Juhani,Saudi Aramco,2222.SR,HSE/Safety,Senior,82.6,236300,7.8,62.7,Middle East,Lower-middle,Yes,73.7,62.3
2222-0005,Sara Al-Ghamdi,Saudi Aramco,2222.SR,Operations,Director,73.5,185400,25.2,63.0,Middle East,Lower-middle,Yes,81.3,89.8
2222-0006,Fatima Al-Qahtani,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,75.5,97800,5.2,63.9,Middle East,Affluent,No,17.9,52.2
2222-0007,Abdullah Al-Qahtani,Saudi Aramco,2222.SR,Refining & Chemicals,Senior,67.4,153800,20.0,48.1,Middle East,Middle,No,47.6,68.2
2222-0008,Huda Al-Rashid,Saudi Aramco,2222.SR,Refining & Chemicals,Principal,90.2,107500,9.9,59.4,Middle East,Working class,Yes,87.4,62.8
2222-0009,Nasser Al-Zahrani,Saudi Aramco,2222.SR,Upstream/Engineering,SVP,69.0,596300,17.6,75.1,Middle East,Middle,No,53.7,70.2
2222-0010,Faisal Al-Zahrani,Saudi Aramco,2222.SR,Operations,Staff,77.2,111500,9.7,61.7,Middle East,Lower-middle,No,54.4,52.5
2222-0011,Fatima Al-Rashid,Saudi Aramco,2222.SR,Research & Tech,Staff,90.8,288900,7.6,65.5,Middle East,Affluent,No,24.2,76.2
2222-0012,Amal Al-Faraj,Saudi Aramco,2222.SR,Refining & Chemicals,Senior,81.0,310700,5.8,61.5,Middle East,Lower-middle,Yes,74.8,69.0
2222-0013,Amal Al-Mutairi,Saudi Aramco,2222.SR,Refining & Chemicals,Staff,87.9,236700,15.1,65.1,East Asia,Upper-middle,No,41.8,55.1
2222-0014,Hamad Al-Otaibi,Saudi Aramco,2222.SR,Refining & Chemicals,Senior,79.3,107200,7.7,57.2,Middle East,Upper-middle,No,31.9,59.0
2222-0015,Majed Al-Qahtani,Saudi Aramco,2222.SR,Finance,Staff,71.2,59600,5.9,63.6,North America,Lower-middle,No,63.6,78.2
2222-0016,Abdullah Al-Hassan,Saudi Aramco,2222.SR,Operations,Principal,96.2,248200,12.2,52.4,Middle East,Working class,Yes,72.9,64.5
2222-0017,Lina Al-Faraj,Saudi Aramco,2222.SR,Sales & Trading,Senior,67.6,111400,6.6,62.3,South Asia,Lower-middle,No,64.9,76.7
2222-0018,Ziad Al-Subaie,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,78.4,154200,14.5,60.0,Middle East,Middle,No,62.0,77.4
2222-0019,Layla Al-Amri,Saudi Aramco,2222.SR,Operations,Senior,83.0,193600,18.3,46.1,Southeast Asia,Middle,Yes,64.0,50.2
2222-0020,Mohammed Al-Ghamdi,Saudi Aramco,2222.SR,Research & Tech,Senior,77.2,77200,25.3,49.6,Africa,Middle,No,52.1,55.7
2222-0021,Tariq Al-Hassan,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,77.2,199900,7.3,51.5,South Asia,Upper-middle,No,35.1,77.1
2222-0022,Maryam Al-Subaie,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,79.8,93800,14.6,60.0,Middle East,Working class,Yes,98.2,64.9
